Session Information:,,,,Device Information:

Name:,Dist-0.200KM,,,Name:,Speedcoach Arjo
Start Time:,10/08/23 11:18,,,Model:,SpeedCoach GPS2 OC TP
Type:,Single Distance,,,Serial:,2720800
System of Units:,Kilometers/Speed,,,Firmware Version:,2.24
Speed Input:,GPS,,,Profile Version:,0.03
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Cal/Hr,Total Cals,Start GPS Lat.,Start GPS Lon.
(Interval),(Kilometers),(Kilometers),(HH:MM:SS.tenths),(/1000),(KPH),(/1000),(KPH),(SPM),(Strokes),(Meters),(Meters),(BPM),(Cal/Hr),(Cal),(Degrees),(Degrees)
1,0.200,0.000,00:01:13.6,00:06:09.0,9.756,00:00:00.0,0.000,62.0,76,2.6,0.0,---,655,13,51.83710140,4.98151190


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Cal/Hr,Total Cals,Start GPS Lat.,Start GPS Lon.
(Interval),(Kilometers),(Kilometers),(HH:MM:SS.tenths),(/1000),(KPH),(/1000),(KPH),(SPM),(Strokes),(Meters),(Meters),(BPM),(Cal/Hr),(Cal),(Degrees),(Degrees)
1,0.200,0.000,00:01:13.6,00:06:09.0,9.756,00:00:00.0,0.000,62.0,76,2.6,0.0,---,655,13,51.83710140,4.98151190



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Cal/Hr,Total Cals,GPS Lat.,GPS Lon.
(Interval),(Kilometers),(Kilometers),(HH:MM:SS.tenths),(/1000),(KPH),(/1000),(KPH),(SPM),(Strokes),(Meters),(Meters),(BPM),(Cal/Hr),(Cal),(Degrees),(Degrees)
1,0.000,0.000,00:00:01.1,00:12:20.7,4.860,00:00:00.0,0.000,55.0,1,0.4,0.0,---,0,0,51.83710140,4.98151190
1,0.001,0.000,00:00:02.2,00:29:14.3,2.052,00:00:00.0,0.000,56.5,2,0.8,0.0,---,237,0,51.83709780,4.98150130
1,0.003,0.000,00:00:03.3,00:20:19.5,2.952,00:00:00.0,0.000,62.0,3,1.4,0.0,---,305,0,51.83709140,4.98148320
1,0.004,0.000,00:00:04.3,00:15:17.4,3.924,00:00:00.0,0.000,57.5,4,1.4,0.0,---,373,0,51.83708520,4.98146490
1,0.005,0.000,00:00:05.2,00:11:59.4,5.004,00:00:00.0,0.000,58.5,5,1.2,0.0,---,438,0,51.83707980,4.98144920
1,0.008,0.000,00:00:06.3,00:10:45.1,5.580,00:00:00.0,0.000,62.0,6,2.2,0.0,---,424,1,51.83706930,4.98142190
1,0.010,0.000,00:00:07.3,00:09:34.7,6.264,00:00:00.0,0.000,62.5,7,2.0,0.0,---,473,1,51.83706060,4.98139700
1,0.011,0.000,00:00:08.1,00:08:32.8,7.020,00:00:00.0,0.000,58.5,8,1.1,0.0,---,635,1,51.83705560,4.98138310
1,0.014,0.000,00:00:09.3,00:08:15.0,7.272,00:00:00.0,0.000,62.0,9,3.2,0.0,---,458,1,51.83704110,4.98134220
1,0.016,0.000,00:00:10.1,00:07:42.9,7.776,00:00:00.0,0.000,62.5,10,1.8,0.0,---,684,1,51.83703260,4.98131950
1,0.018,0.000,00:00:11.1,00:07:11.0,8.352,00:00:00.0,0.000,62.5,11,1.8,0.0,---,542,1,51.83702390,4.98129680
